iter	Passed	Remaining
199	36777	331001
200	37040	331518
201	37278	331813
202	37544	332348
203	37782	332634
204	38000	332735
205	38240	333028
206	38543	333857
207	38783	334136
208	39021	334389
209	39231	334400
210	39548	335322
211	39776	335471
212	40041	335938
213	40291	336261
214	40621	337255
215	40861	337481
216	41047	337272
217	41317	337743
218	41403	336706
219	41807	338258
220	42027	338310
221	42293	338732
222	42518	338815
223	42780	339191
224	43035	339499
225	43264	339603
226	43541	340080
227	43842	340739
228	44072	340841
229	44307	340972
230	44555	341207
231	44806	341454
232	44885	340398
233	45264	341613
234	45482	341602
235	45740	341887
236	45995	342155
237	46273	342580
238	46503	342648
239	46718	342605
240	46931	342543
241	47183	342759
242	47465	343199
243	47697	343268
244	47961	343559
245	48213	343769
246	48441	343799
247	48709	344112
248	48967	344348
249	49267	344874
250	49481	344790
251	49589	343979
252	49975	345087
253	50174	344900
254	50466	345350
255	50702	345412
256	51016	346000
257	51240	345975
258	51464	345942
259	51696	345968
260	51949	346133
261	52177	346121
262	52427	346263
263	52657	346265
264	52742	345317
265	53137	346391
266	53363	346364
267	53714	347140
268	54003	347507
269	54239	347531
270	54494	347680
271	54713	347593
272	54979	347797
273	55226	347885
274	55477	347995
275	55749	348229
276	56000	348334
277	56086	347413
278	56484	348420
279	56675	348147
280	56909	348138
281	57197	348459
282	57424	348399
283	57653	348357
284	57908	348469
285	58203	348815
286	58433	348765
287	58735	349148
288	58966	349107
289	59242	349326
290	59451	349149
291	59693	349166
292	59779	348274
293	60184	349231
294	60390	349037
295	60592	348817
296	60811	348692
297	61053	348702
298	61278	348609
299	61398	347923
300	61784	348745
301	61986	348521
302	62216	348452
303	62444	348374
304	62704	348472
305	62922	348336
306	63147	348236
307	63414	348368
308	63644	348291
309	63910	348413
310	64218	348762
311	64488	348901
312	64748	348978
313	64955	348776
314	65198	348760
315	65422	348641
316	65711	348871
317	66001	349101
318	66226	348984
319	66475	348996
320	66690	348828
321	66913	348699
322	67124	348506
323	67344	348362
324	67579	348292
325	67821	348261
326	68057	348196
327	68279	348061
328	68535	348091
329	68796	348151
330	69022	348032
331	69220	347771
332	69491	347873
333	69721	347774
334	69940	347612
335	70253	347920
336	70474	347770
337	70721	347747
338	70993	347845
339	71220	347722
340	71442	347575
341	71689	347548
342	71948	347574
343	72189	347516
344	72416	347388
345	72651	347301
346	72885	347202
347	73132	347169
348	73362	347055
349	73607	347006
350	73803	346729
351	74048	346679
352	74264	346495
353	74473	346279
354	74712	346204
355	74799	345420
356	75202	346100
357	75466	346132
358	75727	346153
359	75962	346053
360	76248	346180
361	76489	346103
362	76728	346019
363	76967	345929
364	77216	345889
365	77442	345739
366	77729	345864
367	77935	345626
368	78161	345478
369	78421	345480
370	78636	345280
371	78838	345025
372	79121	345121
373	79376	345094
374	79637	345095
375	79849	344880
376	80076	344732
377	80289	344523
378	80510	344346
379	80711	344085
380	80982	344121
381	81215	343996
382	81469	343957
383	81682	343747
384	81898	343546
385	82146	343484
386	82398	343431
387	82626	343284
388	82826	343018
389	83041	342812
390	83306	342811
391	83533	342655
392	83755	342479
393	83996	342383
394	84245	342312
395	84449	342063
396	84775	342304
397	85020	342217
398	85246	342055
399	85498	341993
400	85734	341868
401	85991	341827
402	86204	341609
403	86427	341430
404	86702	341459
405	86925	341277
406	87162	341155
407	87390	340993
408	87690	341115
409	87925	340979
410	88182	340929
411	88413	340777
412	88674	340740
413	88898	340563
414	88985	339859
415	89367	340285
416	89611	340178
417	89862	340100
418	90095	339954
419	90312	339748
420	90560	339657
421	90806	339554
422	91010	339297
423	91140	338768
424	91602	339468
425	91803	339197
426	92057	339123
427	92296	338996
428	92574	339006
429	92774	338734
430	93023	338639
431	93261	338503
432	93512	338414
433	93738	338235
434	93978	338107
435	94194	337890
436	94419	337705
437	94655	337561
438	94938	337582
439	95164	337402
440	95402	337261
441	95630	337085
442	95849	336880
443	96161	336998
444	96413	336905
445	96673	336841
446	96765	336189
447	97197	336719
448	97411	336493
449	97642	336324
450	97730	335663
451	98130	336076
452	98405	336055
453	98645	335917
454	98900	335825
455	99172	335795
456	99429	335709
457	99653	335513
458	99925	335478
459	100206	335474
460	100438	335301
461	100661	335103
462	100891	334924
463	101108	334704
464	101374	334644
465	101638	334577
466	101852	334345
467	102072	334134
468	102353	334122
469	102587	333954
470	102841	333851
471	103058	333631
472	103143	332980
473	103551	333374
474	103775	333175
475	104054	333149
476	104292	332992
477	104533	332846
478	104831	332877
479	105069	332719
480	105300	332539
481	105485	332213
482	105725	332062
483	105989	331983
484	106221	331805
485	106524	331848
486	106751	331651
487	106989	331491
488	107215	331292
489	107459	331151
490	107681	330938
491	107911	330754
492	108188	330709
493	108417	330520
494	108663	330381
495	108965	330412
496	109185	330192
497	109388	329921
498	109618	329732
499	109889	329667
500	110116	329470
501	110402	329448
502	110623	329231
503	110874	329102
504	111092	328877
505	111331	328713
506	111560	328519
507	111800	328357
508	112032	328174
509	112239	327914
510	112455	327684
511	112692	327512
512	112801	326969
513	113231	327358
514	113477	327211
515	113750	327143
516	113998	327000
517	114282	326962
518	114514	326773
519	114752	326602
520	114838	326001
521	115287	326427
522	115520	326240
523	115819	326238
524	116113	326222
525	116202	325633
526	116634	326002
527	116888	325871
528	117114	325661
529	117348	325476
530	117540	325173
531	117772	324982
532	118061	324945
533	118297	324765
534	118535	324587
535	118777	324422
536	119040	324312
537	119265	324101
538	119542	324029
539	119801	323907
540	119880	323300
541	120263	323512
542	120489	323301
543	120761	323213
544	121039	323142
545	121274	322955
546	121478	322684
547	121779	322672
548	122013	322479
549	122300	322427
550	122526	322216
551	122776	322066
552	123039	321950
553	123278	321771
554	123567	321720
555	123801	321526
556	124018	321290
557	124249	321090
558	124445	320797
559	124720	320708
560	124953	320513
561	125185	320313
562	125443	320182
563	125527	319605
564	125924	319825
565	126157	319628
566	126387	319423
567	126609	319198
568	126860	319045
569	127113	318899
570	127352	318714
571	127593	318536
572	127817	318316
573	128025	318056
574	128276	317902
575	128507	317699
576	128749	317521
577	128989	317339
578	129217	317128
579	129467	316972
580	129688	316743
581	129927	316559
582	130186	316421
583	130421	316227
584	130640	315993
585	130867	315779
586	131147	315692
587	131388	315511
588	131620	315308
589	131849	315097
590	132092	314920
591	132343	314762
592	132601	314621
593	132879	314525
594	133127	314360
595	133359	314154
596	133445	313608
597	133887	313895
598	134137	313734
599	134395	313589
600	134678	313503
601	134941	313370
602	135166	313148
603	135437	313031
604	135682	312854
605	135912	312643
606	136155	312461
607	136391	312264
608	136631	312075
609	136872	311888
610	137115	311707
611	137352	311511
612	137551	311229
613	137832	311132
614	138055	310904
615	138172	310440
616	138589	310647
617	138822	310441
618	139070	310267
619	139314	310088
620	139557	309902
621	139807	309733
622	140031	309507
623	140288	309354
624	140513	309130
625	140772	308980
626	140999	308760
627	141300	308700
628	141595	308629
629	141822	308408
630	142034	308153
631	142258	307926
632	142504	307746
633	142736	307537
634	142949	307285
635	143151	307009
636	143235	306484
637	143668	306703
638	143927	306550
639	144156	306332
640	144408	306163
641	144646	305965
642	144863	305721
643	145091	305503
644	145354	305356
645	145560	305091
646	145839	304977
647	146121	304871
648	146371	304697
649	146601	304479
650	146851	304304
651	147144	304218
652	147374	304003
653	147626	303831
654	147901	303707
655	148126	303479
656	148315	303177
657	148433	302731
658	148835	302864
659	149064	302646
660	149335	302511
661	149593	302350
662	149825	302137
663	150076	301961
664	150333	301798
665	150556	301564
666	150805	301384
667	151103	301302
668	151341	301099
669	151569	300877
670	151802	300664
671	152094	300566
672	152332	300363
673	152622	300262
674	152854	300047
675	153078	299816
676	153313	299606
677	153592	299481
678	153834	299286
679	154142	299218
680	154372	298997
681	154636	298843
682	154884	298657
683	155144	298494
684	155361	298247
685	155529	297908
686	155759	297689
687	156023	297532
688	156257	297320
689	156546	297210
690	156782	297002
691	157023	296800
692	157251	296577
693	157528	296444
694	157788	296279
695	158041	296101
696	158281	295897
697	158537	295723
698	158763	295495
699	158983	295255
700	159276	295149
701	159480	294879
702	159714	294665
703	159972	294495
704	160228	294321
705	160448	294080
706	160693	293884
707	160926	293668
708	161216	293554
709	161450	293338
710	161698	293149
711	161968	292998
712	162218	292812
713	162459	292609
714	162684	292377
715	163017	292338
716	163238	292099
717	163516	291960
718	163746	291737
719	163980	291521
720	164204	291286
721	164445	291082
722	164729	290954
723	164961	290733
724	165236	290588
725	165518	290454
726	165747	290229
727	165964	289982
728	166198	289763
729	166410	289508
730	166609	289230
731	166876	289069
732	167093	288823
733	167337	288623
734	167598	288451
735	167684	287979
736	168071	288024
737	168289	287779
738	168528	287569
739	168759	287347
740	169009	287157
741	169257	286961
742	169343	286493
743	169789	286633
744	170026	286419
745	170268	286215
746	170486	285969
747	170732	285771
748	170981	285577
749	171249	285415
750	171504	285231
751	171734	285006
752	171943	284745
753	172188	284545
754	172492	284441
755	172710	284195
756	172978	284031
757	173199	283791
758	173512	283700
759	173784	283543
760	174015	283318
761	174300	283181
762	174535	282962
763	174795	282784
764	175011	282534
765	175232	282294
766	175456	282057
767	175695	281844
768	175958	281671
769	176184	281438
770	176440	281251
771	176716	281098
772	176948	280874
773	177206	280691
774	177432	280457
775	177691	280275
776	177913	280036
777	178141	279806
778	178404	279629
779	178638	279408
780	178891	279216
781	179158	279046
782	179417	278865
783	179637	278621
784	179847	278363
785	180092	278157
786	180309	277910
787	180553	277703
788	180782	277475
789	181021	277260
790	181237	277010
791	181448	276754
792	181696	276554
793	181968	276390
794	182060	275953
795	182439	275951
796	182528	275510
797	182975	275609
798	183247	275444
799	183501	275252
800	183732	275025
801	183978	274821
802	184214	274601
803	184510	274470
804	184770	274287
805	185030	274102
806	185284	273908
807	185526	273696
808	185794	273524
809	186057	273343
810	186334	273182
811	186608	273018
812	186855	272813
813	186937	272368
814	187291	272319
815	187484	272036
816	187742	271847
817	188003	271662
818	188233	271432
819	188453	271189
820	188664	270932
821	188886	270691
822	189163	270529
823	189397	270305
824	189619	270064
825	189873	269868
826	189953	269426
827	190357	269443
828	190586	269212
829	190855	269036
830	191111	268844
831	191371	268655
832	191599	268423
833	191822	268183
834	192083	267996
835	192333	267794
836	192583	267591
837	192805	267351
838	193029	267111
839	193312	266955
840	193598	266801
841	193855	266608
842	193941	266180
843	194362	266212
844	194584	265970
845	194698	265581
846	195099	265583
847	195376	265417
848	195601	265178
849	195825	264939
850	196044	264695
851	196257	264440
852	196485	264207
853	196736	264004
854	197005	263825
855	197264	263634
856	197479	263383
857	197573	262970
858	197999	263000
859	198240	262784
860	198464	262544
861	198689	262306
862	198971	262144
863	199211	261926
864	199427	261676
865	199726	261535
866	199960	261309
867	200186	261072
868	200453	260890
869	200711	260694
870	200974	260505
871	201206	260276
872	201446	260058
873	201666	259813
874	201918	259610
875	202147	259376
876	202394	259166
877	202650	258968
878	202865	258717
879	203089	258476
880	203328	258256
881	203407	257834
882	203820	257833
883	204045	257596
884	204281	257372
885	204509	257137
886	204735	256900
887	204821	256488
888	205226	256475
889	205435	256217
890	205680	256003
891	205761	255586
892	206156	255559
893	206410	255358
894	206636	255120
895	206852	254872
896	207194	254777
897	207428	254550
898	207645	254302
899	207898	254098
900	208129	253867
901	208358	253633
902	208601	253416
903	208840	253195
904	209131	253037
905	209214	252627
906	209643	252635
907	209887	252419
908	210101	252168
909	210406	252025
910	210670	251833
911	210903	251604
912	211171	251416
913	211393	251174
914	211617	250934
915	211737	250571
916	212120	250519
917	212338	250272
918	212562	250032
919	212814	249825
920	213097	249654
921	213352	249450
922	213585	249221
923	213818	248992
924	214059	248771
925	214354	248614
926	214597	248395
927	214889	248234
928	215120	248002
929	215334	247749
930	215538	247487
931	215763	247247
932	215983	247003
933	216248	246810
934	216331	246410
935	216723	246361
936	216965	246141
937	217210	245924
938	217471	245727
939	217728	245524
940	217956	245287
941	218220	245093
942	218447	244856
943	218680	244625
944	218924	244407
945	219149	244168
946	219379	243935
947	219597	243688
948	219825	243452
949	220071	243237
950	220343	243049
951	220556	242797
952	220749	242523
953	220957	242265
954	221224	242073
955	221478	241865
956	221726	241651
957	221950	241411
958	222171	241168
959	222439	240976
960	222679	240752
961	222903	240513
962	223127	240273
963	223422	240109
964	223650	239873
965	223871	239630
966	223959	239245
967	224342	239175
968	224556	238924
969	224812	238718
970	225020	238461
971	225242	238219
972	225352	237859
973	225758	237811
974	225982	237571
975	226068	237186
976	226461	237123
977	226671	236869
978	226890	236623
979	227116	236386
980	227346	236152
981	227565	235907
982	227850	235731
983	228109	235527
984	228339	235293
985	228562	235052
986	228780	234807
987	229010	234573
988	229233	234333
989	229464	234100
990	229783	233957
991	230010	233720
992	230239	233485
993	230462	233245
994	230684	233002
995	230879	232733
996	231121	232512
997	231374	232302
998	231594	232058
999	231817	231817
1000	231903	231440
1001	232311	231383
1002	232519	231128
1003	232785	230931
1004	233005	230686
1005	233215	230434
1006	233454	230208
1007	233722	230012
1008	233969	229795
1009	234192	229554
1010	234420	229319
1011	234696	229130
1012	234782	228756
1013	235217	228722
1014	235452	228493
1015	235693	228270
1016	235772	227890
1017	236134	227784
1018	236353	227539
1019	236573	227296
1020	236830	227088
1021	237045	226840
1022	237297	226627
1023	237564	226428
1024	237857	226254
1025	238081	226014
1026	238370	225837
1027	238455	225465
1028	238862	225399
1029	239108	225179
1030	239339	224946
1031	239570	224713
1032	239836	224513
1033	240080	224291
1034	240320	224067
1035	240560	223841
1036	240851	223664
1037	241060	223410
1038	241351	223233
1039	241571	222988
1040	241769	222725
1041	241990	222482
1042	242244	222270
1043	242469	222031
1044	242745	221839
1045	242958	221589
1046	243191	221357
1047	243388	221093
1048	243476	220729
1049	243875	220649
1050	244134	220441
1051	244341	220186
1052	244573	219953
1053	244772	219691
1054	244853	219323
1055	245260	219247
1056	245488	219011
1057	245707	218767
1058	245949	218544
1059	246236	218360
1060	246483	218141
1061	246713	217906
1062	246954	217682
1063	247174	217439
1064	247439	217235
1065	247657	216990
1066	247877	216747
1067	248095	216502
1068	248382	216317
1069	248627	216096
1070	248841	215848
1071	249173	215702
1072	249258	215342
1073	249656	215253
1074	249880	215013
1075	250121	214788
1076	250339	214543
1077	250554	214295
1078	250768	214047
1079	250996	213812
1080	251167	213526
1081	251385	213282
1082	251611	213044
1083	251865	212830
1084	252167	212657
1085	252402	212427
1086	252634	212194
1087	252859	211955
1088	253121	211748
1089	253428	211578
1090	253682	211362
1091	253915	211131
1092	254168	210915
1093	254377	210663
1094	254450	210299
1095	254862	210215
1096	255091	209979
1097	255322	209745
1098	255614	209561
1099	255836	209320
1100	256062	209083
1101	256321	208872
1102	256547	208634
1103	256785	208405
1104	257014	208170
1105	257127	207841
1106	257523	207740
1107	257742	207496
1108	258040	207316
1109	258267	207079
1110	258558	206893
1111	258649	206547
1112	259087	206478
1113	259311	206238
1114	259609	206057
1115	259883	205857
1116	260109	205618
1117	260363	205403
1118	260563	205143
1119	260778	204897
1120	261025	204675
1121	261258	204442
1122	261490	204209
1123	261751	203998
1124	262010	203785
1125	262252	203560
1126	262473	203318
1127	262685	203068
1128	262934	202848
1129	263170	202618
1130	263470	202436
1131	263750	202239
1132	263987	202010
1133	264293	201832
1134	264529	201602
1135	264759	201366
1136	264970	201116
1137	265260	200926
1138	265520	200713
1139	265784	200503
1140	266024	200276
1141	266108	199930
1142	266512	199826
1143	266734	199584
1144	267037	199403
1145	267276	199174
1146	267526	198954
1147	267778	198734
1148	268038	198520
1149	268302	198310
1150	268601	198125
